labels,label_ids
举报线索 - 其它举报线索,0
举报线索 - 提供线索,1
交通警情 - 交通事故,2
交通警情 - 交通保障,3
交通警情 - 交通秩序,4
交通警情 - 交通设施,5
交通警情 - 交通违法,6
交通警情 - 交通逃逸,7
交通警情 - 其它交通管理,8
其他报警类别 - 其它报警类型,9
刑事案件 - 伤害,10
刑事案件 - 其它刑警情,11
刑事案件 - 强奸,12
刑事案件 - 抢劫,13
刑事案件 - 抢夺,14
刑事案件 - 敲诈勒索,15
刑事案件 - 盗窃,16
刑事案件 - 纵火,17
刑事案件 - 绑架,18
刑事案件 - 诈骗,19
刑事案件 - 贩毒,20
刑事案件 - 非法拘禁,21
投诉监督 - 其他投诉监督,22
投诉监督 - 群众投诉,23
治安警情 - 伪造票证、凭证,24
治安警情 - 侵犯人身权利,25
治安警情 - 其它治安警情,26
治安警情 - 制贩、使用假币,27
治安警情 - 妨碍公务,28
治安警情 - 家庭暴力,29
治安警情 - 恐吓,30
治安警情 - 打架斗殴,31
治安警情 - 扰乱秩序,32
治安警情 - 抢夺,33
治安警情 - 故意毁坏公私财物,34
治安警情 - 敲诈勒索,35
治安警情 - 治安纠纷,36
治安警情 - 盗窃,37
治安警情 - 色情淫秽,38
治安警情 - 虐待,39
治安警情 - 诈骗,40
治安警情 - 赌博,41
治安警情 - 非法侵入他人住宅,42
消防救援 - 其它消防救援,43
消防救援 - 抢险救援,44
消防救援 - 火灾,45
灾害事故 - 其它灾害事故,46
社会联动 -  林水管理 ,47
社会联动 - 其它社会联动,48
社会联动 - 安全生产监督,49
社会联动 - 文广管理,50
社会联动 - 水气热抢修,51
社会联动 - 环保执法,52
社会联动 - 食品药品管理,53
群众求助 - 其它群众求助,54
群众求助 - 危急病人求助,55
群众求助 - 坠楼求助,56
群众求助 - 失物求助,57
群众求助 - 开锁求助,58
群众求助 - 水、电、气、热险情求助,59
群众求助 - 自杀求助,60
群众求助 - 走失求助,61
群体事件 - 其它群体警情,62
群体事件 - 聚众上访,63
